album,song,word_count,tb_polarity,tb_subjectivity,tb_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment
Midnights_TheTilDawnEdition_,Snowonthebeach Feat Morelanadelrey,469,-0.09392361111111111,0.592361111111111,neutral,0.9988,0.267,0.073,0.66,positive
Midnights_TheTilDawnEdition_,Paris,334,0.14966931216931215,0.5610449735449735,positive,0.9968,0.204,0.05,0.747,positive
Midnights_TheTilDawnEdition_,Mastermind,359,-0.01691176470588234,0.39166666666666666,neutral,0.9348,0.087,0.051,0.862,positive
Midnights_TheTilDawnEdition_,Glitch,254,-0.015088383838383831,0.4361111111111111,neutral,0.9913,0.171,0.027,0.802,positive
Midnights_TheTilDawnEdition_,Question,454,0.15974025974025974,0.3628186628186628,positive,0.9961,0.174,0.073,0.753,positive
Midnights_TheTilDawnEdition_,Wouldve Couldve Shouldve,528,0.26286549707602336,0.5239766081871345,positive,-0.9831,0.137,0.171,0.691,negative
Midnights_TheTilDawnEdition_,Sweetnothing,291,0.09917929292929294,0.39911616161616165,neutral,0.9538,0.079,0.02,0.9,positive
Midnights_TheTilDawnEdition_,Dearreader,288,0.2825892857142857,0.6394841269841269,positive,0.9921,0.187,0.064,0.75,positive
Midnights_TheTilDawnEdition_,Youreonyourown Kid,326,0.44999999999999996,0.7157894736842105,positive,0.9945,0.193,0.045,0.762,positive
Midnights_TheTilDawnEdition_,Vigilanteshit,283,-0.1902298850574713,0.6554187192118227,negative,-0.842,0.148,0.167,0.685,negative
Midnights_TheTilDawnEdition_,Highinfidelity,403,0.05801746031746033,0.5370063492063492,neutral,-0.9044,0.057,0.092,0.851,negative
Midnights_TheTilDawnEdition_,Thegreatwar,373,0.2596296296296296,0.5192592592592592,positive,0.8539,0.209,0.185,0.606,positive
Red_TaylorsVersion__FromTheVaultChapter,Babe Taylorsversion Fromthevault,401,-0.012179487179487181,0.21089743589743587,neutral,0.9331,0.117,0.075,0.808,positive
